t,temperature,free_energy,internal_energy,entropy,partition_quotient,cache_thermal_index,neuromorphic_energy_ratio,learning_loss,phase_event
133,69.51002686,36.25441446,37.79491311,0.02216225,0.53614632,0.00560616,0.86339730,37.79491311,0.0
134,69.51903136,35.59805942,37.02636390,0.02054552,0.54126881,0.00560553,0.87961577,37.02636390,0.0
135,69.52798957,34.86527562,36.40852332,0.02219606,0.54703972,0.00560491,0.85507495,36.40852332,0.0
136,69.53688655,34.80625989,36.33944988,0.02204859,0.54753932,0.00560413,0.85342695,36.33944988,0.0
137,69.54570732,35.67193054,37.30189163,0.02343726,0.54080040,0.00560352,0.85386756,37.30189163,0.0
138,69.55443685,34.37094121,36.08017122,0.02457399,0.55104653,0.00560291,0.84229424,36.08017122,0.0
139,69.56306004,34.10443966,35.74700600,0.02361262,0.55319557,0.00560215,0.84209430,35.74700600,0.0
140,69.57156176,33.39445109,34.91901877,0.02191366,0.55890340,0.00560125,0.85614947,34.91901877,0.0
141,69.57992683,35.11264804,36.66228797,0.02227136,0.54530240,0.00560067,0.84954260,36.66228797,0.0
142,69.58814005,33.70521235,35.28765788,0.02274016,0.55647669,0.00560011,0.84579563,35.28765788,0.0
143,69.59618615,35.20968582,36.52910265,0.01895818,0.54460682,0.00559955,0.87774254,36.52910265,0.0
144,69.60404984,33.37588799,34.88518654,0.02168406,0.55917774,0.00559901,0.85650612,34.88518654,0.0
145,69.61171581,33.51495289,35.11187951,0.02294049,0.55809125,0.00559848,0.84316579,35.11187951,0.0
146,69.61916871,34.02026686,35.45249326,0.02057230,0.55408370,0.00559797,0.86605210,35.45249326,0.0
147,69.62639317,33.14322906,34.56031514,0.02035271,0.56113572,0.00559748,0.86205687,34.56031514,0.0
148,69.63337378,31.98422201,33.58052782,0.02292444,0.57058089,0.00559686,0.83980136,33.58052782,0.0
149,69.64009515,31.34261043,32.95172522,0.02310615,0.57588761,0.00559640,0.83211232,32.95172522,0.0
150,69.64654183,30.25564895,31.77300659,0.02178655,0.58497026,0.00559597,0.83681830,31.77300659,0.0
151,69.65269841,30.60166816,32.34203713,0.02498638,0.58209381,0.00559556,0.81606791,32.34203713,0.0
152,69.65854942,29.87197170,31.66146545,0.02568951,0.58824520,0.00559517,0.81186030,31.66146545,0.0
153,69.66407944,29.67856469,31.37477551,0.02434843,0.58990068,0.00559481,0.82474792,31.37477551,0.0
154,69.66927300,29.42551302,31.18706452,0.02528448,0.59206601,0.00559447,0.80259768,31.18706452,0.0
155,69.67411468,28.98241245,30.72571680,0.02502083,0.59586081,0.00559402,0.80198560,30.72571680,0.0
156,69.67858904,28.55189341,30.15281348,0.02297578,0.59956983,0.00559375,0.81646596,30.15281348,0.0
157,69.68268065,29.66570245,31.12520323,0.02094496,0.59007668,0.00559350,0.84806544,31.12520323,0.0
158,69.68637412,29.22625470,30.75846049,0.02198716,0.59382290,0.00559314,0.83501142,30.75846049,0.0
159,69.68965408,29.58282189,31.06980837,0.02133726,0.59080403,0.00559295,0.85058183,31.06980837,0.0
160,69.69250515,28.97669604,30.63461946,0.02378912,0.59597510,0.00559280,0.82249067,30.63461946,0.0
161,69.69491202,29.03077257,30.74174579,0.02454947,0.59552141,0.00559255,0.81695421,30.74174579,0.0
162,69.69685941,29.29826378,31.11636130,0.02608579,0.59324713,0.00559233,0.79677142,31.11636130,0.0
163,69.69833205,28.56214445,30.41744719,0.02661904,0.59955124,0.00559215,0.80051018,30.41744719,0.0
164,69.69931474,29.20531986,30.81336370,0.02307116,0.59404755,0.00559215,0.83552908,30.81336370,0.0
165,69.69979232,29.67991605,31.34575950,0.02390026,0.59001802,0.00559219,0.82192340,31.34575950,0.0
166,69.69974969,30.81994119,32.39475433,0.02259424,0.58044589,0.00559213,0.83693753,32.39475433,0.0
167,69.69917179,30.10394592,31.71910861,0.02317334,0.58643719,0.00559225,0.83076947,31.71910861,0.0
168,69.69804365,30.71092504,32.45438732,0.02501451,0.58134820,0.00559241,0.81917326,32.45438732,0.0
169,69.69635034,30.38061850,31.98214306,0.02297860,0.58410362,0.00559262,0.83309460,31.98214306,0.0
170,69.69407703,30.01952195,31.58308919,0.02243472,0.58712947,0.00559288,0.84680922,31.58308919,0.0
171,69.69120893,29.62498251,31.55624332,0.02771168,0.59045231,0.00559318,0.78452497,31.55624332,0.0
172,69.68773137,31.79496715,33.65888330,0.02674669,0.57233757,0.00559352,0.81032391,33.65888330,0.0
173,69.68362975,32.65470889,34.41725821,0.02529359,0.56530439,0.00559392,0.82027758,34.41725821,0.0
174,69.67888955,32.32725152,33.90150777,0.02259302,0.56794920,0.00559424,0.84633894,33.90150777,0.0
175,69.67349639,31.97356596,33.61669238,0.02358323,0.57081913,0.00559474,0.83021365,33.61669238,0.0
176,69.66743593,32.59265280,34.19959364,0.02306588,0.56574653,0.00559517,0.84484134,34.19959364,0.0
177,69.66069401,33.44701258,35.09567272,0.02366701,0.55882496,0.00559578,0.83495488,35.09567272,0.0
178,69.65325651,34.21645030,35.72327543,0.02163323,0.55265743,0.00559620,0.86548230,35.72327543,0.0
179,69.64510949,34.10059043,35.63162634,0.02198339,0.55354577,0.00559692,0.85409313,35.63162634,0.0
180,69.63623911,33.89248516,35.36749462,0.02118164,0.55516787,0.00559770,0.85767257,35.36749462,0.0
181,69.62663163,33.87213625,35.36268793,0.02140778,0.55529285,0.00559854,0.85644881,35.36268793,0.0
182,69.61627350,34.34625436,35.72800487,0.01984810,0.55148399,0.00559943,0.86386979,35.72800487,0.0
183,69.60515128,33.21512322,34.63960184,0.02046513,0.56047501,0.00560027,0.85635358,34.63960184,0.0
184,69.59325166,33.94851583,35.22995788,0.01841331,0.55455433,0.00560118,0.87397527,35.22995788,0.0
